Distrito,Candidato,Partido,Pacto,Votos,%,Resultado,Año
49,Miguel Hernández Saffirio,PDC,Concertación por la Democracia,20 208,"35,56",Diputado,1997
49,Juan Catalán Lincoleo,PCCh,La Izquierda,1455,"2,56",,1997
49,Antonio Inostroza Segura,PCCh,La Izquierda,917,"1,61",,1997
49,Orwal Casanova Cameron,ILE,Chile 2000,1076,"1,89",,1997
50,Ximena Aguilera Bernedo,PH,Partido Humanista,1631,"1,65",,1997
50,José García Ruminot,RN,Unión por Chile,35 388,"35,73",Diputado,1997
50,Julia Carreño Estay,UDI,Unión por Chile,1680,"1,7",,1997
50,Elías Amar Amar,PS,Concertación por la Democracia,8205,"8,28",,1997
50,Francisco Huenchumilla Jaramillo,PDC,Concertación por la Democracia,48 028,"48,49",Diputado,1997
50,Óscar Muñoz Salgado,ILD,La Izquierda,1500,"1,51",,1997
50,Pedro Soto Mancilla,PCCh,La Izquierda,2617,"2,64",,1997
51,Eduardo Díaz del Río,SUR,Unión por Chile,20 813,"33,75",Diputado,1997
51,Teodoro Ribera Neumann,RN,Unión por Chile,15 166,"24,6",,1997
51,Eugenio Tuma Zedan,PPD,Concertación por la Democracia,12 840,"20,82",Diputado,1997
51,Luis Campos Leal,PDC,Concertación por la Democracia,10 426,"16,91",,1997
51,América Painemal Morales,PCCh,La Izquierda,1190,"1,93",,1997
51,José Millapi Cea,PH,Partido Humanista,810,"1,31",,1997
51,Mauricio Teillier Del Valle,PCCh,La Izquierda,416,"0,67",,1997
52,René Manuel García García,RN,Unión por Chile,24 752,"45,57",Diputado,1997
52,Mario Acuña Cisternas,PDC,Concertación por la Democracia,18 142,"33,4",Diputado,1997
