Distrito,Candidato,Partido,Pacto,Votos,%,Resultado,Año
43,Víctor Barrueto Jeame,PPD,Concertación por la Democracia,35 877,"35,14",Diputado,2001
43,Fernando Varela Carter,ILE,Concertación por la Democracia,16 786,"16,44",,2001
43,Alejandro Sepúlveda Carrasco,PCCh,Partido Comunista,5745,"5,63",,2001
43,Omar Sanhueza González,RN,Alianza por Chile,5374,"5,26",,2001
44,José Miguel Ortiz Novoa,PDC,Concertación por la Democracia,52 037,"35,25",Diputado,2001
44,Andrés Egaña Respaldiza,UDI,Alianza por Chile,48 403,"32,78",Diputado,2001
44,Jaime Rocha Manrique,PRSD,Concertación por la Democracia,23 597,"15,88",,2001
44,Andrea Ojeda Miranda,RN,Alianza por Chile,12 468,"8,44",,2001
44,Gorky Díaz Medina,PCCh,Partido Comunista,5847,"3,96",,2001
44,Rita Rodríguez Jara,PCCh,Partido Comunista,4242,"2,87",,2001
44,Héctor Luis Cerón Polanco,PL,Partido Liberal,1049,"0,71",,2001
45,Alejandro Navarro Brain,PS,Concertación por la Democracia,48 990,"45,46",Diputado,2001
45,Sergio Bobadilla Muñoz,UDI,Alianza por Chile,31 173,"28,92",,2001
45,Edmundo Salas de la Fuente,PDC,Concertación por la Democracia,22 125,"20,53",Diputado,2001
45,Freddy Cabrera Campos,PCCh,Partido Comunista,3618,"3,36",,2001
45,Juan Pablo Astudillo Encina,RN,Alianza por Chile,1870,"1,74",,2001
46,Camilo Escalona Medina,PS,Concertación por la Democracia,33 291,"37,22",Diputado,2001
46,Iván Norambuena Farías,UDI,Alianza por Chile,28 902,"32,32",Diputado,2001
46,Moisés Valenzuela Martínez,PDC,Concertación por la Democracia,15 801,"17,67",,2001
46,Iván Quintana Miranda,PCCh,Partido Comunista,6435,"7,19",,2001
46,Haroldo Fossa Rojas,RN,Alianza por Chile,3315,"3,71",,2001
46,Eduardo Barriga Balboa,PL,Partido Liberal,918,"1,03",,2001
46,Bernardo Simón Olave Garrido,PL,Partido Liberal,776,"0,87",,2001
47,Osvaldo Quezada Medina,PCCh,Partido Comunista,4371,"3,35",,2001
47,Víctor Pérez Varela,UDI,Alianza por Chile,45 328,"34,7",Diputado,2001
47,Luis Correa Devia,RN,Alianza por Chile,15 184,"11,62",,2001
47,José Pérez Arriagada,PRSD,Concertación por la Democracia,40 201,"30,77",Diputado,2001
47,Juan Coronata Segure,PDC,Concertación por la Democracia,25 552,"19,56",,2001
48,Francisco Bayo Veloso,RN,Alianza por Chile,18 130,"28,02",Diputado,2001
48,Luis Monge Sánchez,UDI,Alianza por Chile,17 200,"26,58",,2001
48,Edmundo Villouta Concha,PDC,Concertación por la Democracia,14 996,"23,17",Diputado,2001
48,Carlos Fernández Ricci,PS,Concertación por la Democracia,14 389,"22,23",,2001
49,Juan Catalán Lincoleo,PCCh,Partido Comunista,2026,"3,19",,2001
49,Enrique Estay Peñaloza,UDI,Alianza por Chile,13 277,"20,92",,2001
49,José Antonio Galilea Vidaurre,RN,Alianza por Chile,16 764,"26,41",Diputado,2001
49,Jaime Quintana Leal,PPD,Concertación por la Democracia,15 865,25,Diputado,2001
49,Fuad Chahin Valenzuela,PDC,Concertación por la Democracia,15 536,"24,48",,2001
50,Domingo del Carmen Marileo Toledo,PCCh,Partido Comunista,4386,"4,15",,2001
50,Eduardo José Saffirio Suarez,PDC,Concertación por la Democracia,35 487,"33,59",Diputado,2001
50,German Antonio Becker Alvear,RN,Alianza por Chile,39 801,"37,68",Diputado,2001
50,Jorge Cesar Romero Fuentes,PS,Concertación por la Democracia,11 711,"11,09",,2001
50,Kurt Enrique Horta Caceres,UDI,Alianza por Chile,14 256,"13,49",,2001
51,Eugenio Tuma Zedan,PPD,Concertación por la Democracia,25 082,"40,32",Diputado,2001
51,Eduardo Díaz del Río,UDI,Alianza por Chile,20 156,"32,4",Diputado,2001
51,Andrés Matta Cuminao,RN,Alianza por Chile,6885,"11,07",,2001
51,Valdemar Urbina Aravena,DC,Concertación por la Democracia,6568,"10,56",,2001
51,Teoberto Ñancupil Baeza,IND,Independiente,2143,"3,45",,2001
51,Luis Catrileo Gaete,PCCh,Partido Comunista,1372,"2,21",,2001
52,René Manuel García García,RN,Alianza por Chile,23 370,"38,43",Diputado,2001
52,Fernando Meza Moncada,PRSD,Concertación por la Democracia,16 781,"27,59",Diputado,2001
