Pacto o partido,Sigla,Candidatos,Votos,% Votos,N° Diputados,% Diputados,Año
Renovación Nacional,RN,50,932 422,"14,12 %",19,"15,83 %",2005
Unión Demócrata Independiente,UDI,59,1 475 901,"22,36 %",33,"27,50 %",2005
Independientes Lista D,ILD,11,148 063,"2,24 %",2,"1,67 %",2005
Independientes fuera de pacto,Ind,8,62 387,"0,95 %",0,"0,00 %",2005
Concertación y Juntos Podemos (A),,,2 934 378,"44,35 %",57,"47,50 %",2009
Partido Demócrata Cristiano,PDC,,940 265,"14,21 %",19,"15,83 %",2009
Partido por la Democracia,PPD,,839 744,"12,69 %",18,"15,00 %",2009
Partido Socialista de Chile,PS,,653 367,"9,88 %",11,"9,17 %",2009
Partido Radical Socialdemócrata,PRSD,,251 456,"3,80 %",5,"4,17 %",2009
Partido Comunista de Chile,PCCh,,133 718,"2,02 %",3,"2,50 %",2009
Independientes Lista A,ILA,,115 828,"1,75 %",1,"0,83 %",2009
Coalición por el Cambio (B),,,2 874 674,"43,45 %",58,"48,33 %",2009
Unión Demócrata Independiente,UDI,,1 525 000,"23,05 %",37,"30,83 %",2009
Renovación Nacional,RN,,1 178 392,"17,81 %",18,"15,00 %",2009
ChilePrimero,CH1,,18 021,"0,27 %",0,"0,00 %",2009
Independientes Lista B,ILB,,153 261,"2,32 %",3,"2,50 %",2009
Nueva Mayoría para Chile (C),,,302 627,"4,57 %",0,"0,00 %",2009
Partido Humanista,PH,,95 177,"1,44 %",0,"0,00 %",2009
Partido Ecologista,PE,,3815,"0,06 %",0,"0,00 %",2009
Independientes Lista C,ILC,,206 635,"3,08 %",0,"0,00 %",2009
Chile Limpio. Vote Feliz (D),,,356 798,"5,39 %",3,"2,50 %",2009
Partido Regionalista de los Independientes,PRI,,264 466,"4,00 %",3,"2,50 %",2009
Movimiento Amplio Social,MAS,,26 440,"0,40 %",0,"0,00 %",2009
Independientes Lista D,ILD,,65 892,"1,00 %",0,"0,00 %",2009
Independientes fuera de pacto,Ind,,147 379,"2,23 %",2,"1,67 %",2009
Nueva Mayoría (C),,,2 967 896,"47,71 %",67,"55,83 %",2013
Partido Demócrata Cristiano,PDC,,967 003,"15,55 %",21,"17,50 %",2013
Partido Socialista de Chile,PS,,691 713,"11,12 %",15,"12,50 %",2013
Partido por la Democracia,PPD,,685 804,"11,03 %",15,"12,50 %",2013
Partido Comunista de Chile,PCCh,,255 914,"4,11 %",6,"5,00 %",2013
Partido Radical Socialdemócrata,PRSD,,225 955,"3,63 %",6,"5,00 %",2013
Izquierda Ciudadana,IC,,39 281,"0,63 %",1,"0,83 %",2013
Movimiento Amplio Social,MAS,,6387,"0,10 %",0,"0,00 %",2013
Independientes Lista C,ILC,,95 839,"1,54 %",3,"2,50 %",2013
Partido Regionalista de los Independientes (E),PRI,,72 306,"1,16 %",0,"0,00 %",2013
Partido Humanista (F),PH,,208 879,"3,36 %",0,"0,00 %",2013
Nueva Constitución para Chile (H),,,172 903,"2,78 %",0,"0,00 %",2013
Partido Ecologista Verde,ECOV,,32 762,"0,53 %",0,"0,00 %",2013
Partido Igualdad,IGUAL,,67 094,"1,08 %",0,"0,00 %",2013
Independientes Lista H,ILH,,73 047,"1,17 %",0,"0,00 %",2013
"Si tú quieres, Chile cambia (I)",,,337 823,"5,43 %",1,"0,83 %",2013
Partido Liberal de Chile,PL,,16 664,"0,27 %",1,"0,83 %",2013
Partido Progresista,PRO,,235 722,"3,79 %",0,"0,00 %",2013
Independientes Lista I,ILI,,85 437,"1,37 %",0,"0,00 %",2013
Alianza (J),,,2 253 781,"36,23 %",49,"40,83 %",2013
Renovación Nacional,RN,,928 037,"14,92 %",19,"15,83 %",2013
