Distrito ,parlamentario/a,coalición ,partido político ,votos obtenidos,% obtenido ,año elección ,región 
17[d],Ramón Elizalde Hevia,Concertación de Partidos por la Democracia,DC,61 640,"33,07 %",1989,
17[d],María Maluenda Campos,Concertación de Partidos por la Democracia,PPD,54 939,"29,47 %",1989,
18[d],Hernán Bosselin Correa,Concertación de Partidos por la Democracia,DC,76 105,"37,04 %",1989,
18[d],Andrés Sotomayor Mardones,Democracia y Progreso,RN,28 114,"13,68 %",1989,
19[d],Mario Hamuy Berr,Concertación de Partidos por la Democracia,DC,41 876,"30,02 %",1989,
19[d],Cristián Leay Morán,Democracia y Progreso,UDI,34 137,"24,47 %",1989,
20[d],Carlos Dupré Silva,Concertación de Partidos por la Democracia,DC,79 757,"36,55 %",1989,
20[d],Ángel Fantuzzi Hernández,Democracia y Progreso,RN,65 802,"30,15 %",1989,
21[d],Alberto Espina Otero,Democracia y Progreso,RN,83 922,"40,45 %",1989,
21[d],Gutenberg Martínez Ocamina,Concertación de Partidos por la Democracia,DC,72 853,"35,11 %",1989,
22[d],Carlos Bombal Otaegui,Democracia y Progreso,Ind-UDI,58 502,"38,46 %",1989,
22[d],Jorge Schaulsohn Brodsky,Concertación de Partidos por la Democracia,PPD,42 022,"27,63 %",1989,
23[d],Evelyn Matthei Fornet,Democracia y Progreso,RN,79 595,"42,32 %",1989,
