Distrito;Candidato;Partido;Pacto;Votos;%;Resultado;Año
24;66. Patricio Rosas Barrientos;PS;N. La Fuerza de la Mayoría;13371;9,59%;Diputado;2017
24;67. Abernego Job Mardones Riquelme;PCCh;N. La Fuerza de la Mayoría;1951;1,40%;;2017
24;68. Enrique Jaramillo Astudillo;PPD;N. La Fuerza de la Mayoría;13504;9,69%;;2017
24;69. Carla Mailen Soto Gallardo;PPD;N. La Fuerza de la Mayoría;706;0,51%;;2017
24;70. Iván Alberto Flores García;PDC;O. Convergencia Democrática;13242;9,50%;Diputado;2017
24;71. Myrtha Carmen Peralta Vega;PDC;O. Convergencia Democrática;1688;1,21%;;2017
24;72. Oscar Sandrino Leiva González;IND-PDC;O. Convergencia Democrática;1482;1,06%;;2017
24;73. Marlyn Magdalena Leupin Fernández;IND-PDC;O. Convergencia Democrática;589;0,42%;;2017
24;74. Juan Carlos Tobar Sala;PDC;O. Convergencia Democrática;1067;0,77%;;2017
24;75. Eduardo Salas Cerda;PRI;P. Chile Vamos;3340;2,40%;;2017
24;76. Patricia Martínez Torres;IND-PRI;P. Chile Vamos;1881;1,35%;;2017
24;77. Bernardo José Berger Fett;RN;P. Chile Vamos;24070;17,27%;Diputado;2017
24;78. Álvaro Vargas Salas;RN;P. Chile Vamos;5071;3,54%;;2017
24;79. Gastón Alejandro von Mühlenbrock Zamora;UDI;P. Chile Vamos;12542;9,00%;Diputado;2017
24;80. Ann Hunter Gutiérrez;IND-UDI;P. Chile Vamos;4071;2,92%;;2017
25;50. Ruth Seemann Barria;PRO;B. Por Todo Chile;747;0,52%;;2017
25;51. José Manuel Santana Aburto;IND-PRO;B. Por Todo Chile;1012;0,78%;;2017
25;52. Sonia ELizabeth Silva Torres;IND-PRO;B. Por Todo Chile;505;0,39%;;2017
25;53. Alicia Noemí Marín Sotomayor;PRO;B. Por Todo Chile;404;0,31%;;2017
25;81. Luis Abarca Azócar;IND;Candidatura independiente;2572;1,98%;;2017
25;54. Pamela Beatriz Leal Gática;Poder;G. Frente Amplio;3159;2,43%;;2017
25;55. Germán Rodrigo Cartes Oyarzo;IND-Poder;G. Frente Amplio;1913;1,47%;;2017
25;56. Catalina Andrea Yovane García;IND-Poder;G. Frente Amplio;1073;0,82%;;2017
25;57. María Ignacia Buono-Core Barroilhet;IND-Todos;H. Sumemos;361;0,28%;;2017
25;58. Claude Routhier Cartes;IND-Todos;H. Sumemos;424;0,33%;;2017
25;59. Jorge René Tejeda Roa;IND-CIU;H. Sumemos;3378;2,60%;;2017
25;60. Carolina Leticia Dupuy Guarda;IND-CIU;H. Sumemos;437;0,34%;;2017
25;61. Rodrigo Andrés Moreno Orellana;CIU;H. Sumemos;653;0,50%;;2017
25;62. Rodrigo Alejandro Toledo del Río;DRP;K. Coalición Regionalista Verde;1169;0,90%;;2017
25;63. Kassandra Tabatta Muñoz Ávila;DRP;K. Coalición Regionalista Verde;512;0,39%;;2017
25;64. Angélica María Henríquez Fernández;IND-DRP;K. Coalición Regionalista Verde;700;0,54%;;2017
25;65. María José Levicoi Ovando;IND-DRP;K. Coalición Regionalista Verde;257;0,20%;;2017
25;66. Alejandra Daniela Arcos Rosas;IND-DRP;K. Coalición Regionalista Verde;234;0,18%;;2017
25;67. Margarita Pérez Valdés;PCCh;N. La Fuerza de la Mayoría;2085;1,60%;;2017
25;68. Catalina Velásquez Flores;PCCh;N. La Fuerza de la Mayoría;926;0,71%;;2017
25;69. Fidel Espinoza Sandoval;PS;N. La Fuerza de la Mayoría;27999;21,53%;Diputado;2017
25;70. Emilia Iris Nuyado Ancapichún;PS;N. La Fuerza de la Mayoría;8149;6,27%;Diputada;2017
25;71. Gustavo Salvo Pereira;IND-PPD;N. La Fuerza de la Mayoría;5427;4,17%;;2017
25;72. Sergio Rodrigo Ojeda Uribe;PDC;O. Convergencia Democrática;6233;4,79%;;2017
25;73. Karla Benavides Henríquez;PDC;O. Convergencia Democrática;5875;4,52%;;2017
25;74. Marianela Huenchor Huenchor;PDC;O. Convergencia Democrática;2283;1,76%;;2017
25;75. Miguel Arredondo Orellana;PDC;O. Convergencia Democrática;5309;4,08%;;2017
25;76. Javier Hernández Hernández;UDI;P. Chile Vamos;16367;12,58%;Diputado;2017
25;77. Soraya Said Teuber;IND-UDI;P. Chile Vamos;3248;2,50%;;2017
25;78. Amanda Milosevich Pepper;Evópoli;P. Chile Vamos;1821;1,40%;;2017
25;79. Harry Jürgensen Rundshagen;RN;P. Chile Vamos;20531;15,79%;Diputado;2017
25;80. Andrea Rosmanich Rojas;RN;P. Chile Vamos;4303;3,31%;;2017
26;50. Raúl Oliva Camadro;PRO;B. Por Todo Chile;3384;2,46%;;2017
26;51. Gonzalo Valenzuela Oyarzo;IND-PRO;B. Por Todo Chile;1923;1,40%;;2017
