Distrito,parlamentario/a,coalición,partido político,Votos obtenidos ,% obtenido,año elección
16,Adriana Muñoz D'Albora,Concertación,Partido por la Democracia ,35448,"30,42%",1989
16,Patricio Melero Abaroa,Alianza,Unión Demócrata Independiente,23269,"19,97%",1989
17,Ramón Elizalde Hevia,Concertación,Democracia Cristiana ,61640,"33,07%",1989
17,María Maluenda Campos,Concertación,Partido por la Democracia ,54939,"29,47%",1989
18,Hernán Bosselin Correa,Concertación,Democracia Cristiana ,76105,"37,04%",1989
18,Andrés Sotomayor Mardones,Alianza,Renovación Nacional,28114,"13,68%",1989
19,Mario Hamuy Berr,Concertación,Democracia Cristiana ,41876,"30,02%",1989
19,Cristián Leay Morán,Alianza,Unión Demócrata Independiente,34137,"24,47%",1989
20,Carlos Dupré Silva,Concertación,Democracia Cristiana ,79757,"36,55%",1989
20,Ángel Fantuzzi Hernández,Alianza,Renovación Nacional,65802,"30,15%",1989
21,Alberto Espina Otero,Alianza,Renovación Nacional,83922,"40,45%",1989
21,Gutenberg Martínez Ocamina,Concertación,Democracia Cristiana ,72853,"35,11%",1989
22,Carlos Bombal Otaegui,Alianza,Unión Demócrata Independiente,58502,"38,46%",1989
22,Jorge Schaulsohn Brodsky,Concertación,Partido por la Democracia ,42022,"27,63%",1989
23,Evelyn Matthei Fornet,Alianza,Renovación Nacional,79595,"42,32%",1989
23,Eliana Caraball Martínez,Concertación,Democracia Cristiana ,49961,"26,56%",1989
24,María Angélica Cristi Marfil,Alianza,Renovación Nacional,47633,"34,43%",1989
24,Laura Rodríguez Riccomini,Concertación,Partido Humanista,40526,"29,29%",1989
25,Andrés Palma Irarrázaval,Concertación,Democracia Cristiana ,83715,"42,78%",1989
25,Jaime Orpis Bouchón,Alianza,Unión Demócrata Independiente,42733,"21,83%",1989
26,Carlos Montes Cisternas,Concertación,Partido por la Democracia ,51504,"35,79%",1989
26,Gustavo Alessandri Balmaceda,Alianza,Renovación Nacional,30484,"21,18%",1989
27,Hernán Rojo Avendaño,Concertación,Democracia Cristiana ,69757,"35,27%",1989
27,Camilo Escalona Medina,Liberal-Socialista Chileno,Partido Socialista ,50949,"25,76%",1989
28,Rodolfo Seguel Molina,Concertación,Democracia Cristiana ,85358,"42,53%",1989
28,Mario Palestro Rojas,Liberal-Socialista Chileno,Partido Socialista ,44649,"22,25%",1989
29,Guillermo Yunge Bustamante,Concertación,Democracia Cristiana ,63598,"41,32%",1989
29,Jaime Estévez Valencia,Concertación,Partido por la Democracia ,35120,"22,82%",1989
30,Andrés Aylwin Azócar,Concertación,Democracia Cristiana ,81125,"55,75%",1989
30,Pablo Longueira Montes,Alianza,Unión Demócrata Independiente,37470,"25,75%",1989
31,Vicente Sota Barros,Concertación,Partido por la Democracia ,43931,"30,70%",1989
31,Juan Antonio Coloma Correa,Alianza,Unión Demócrata Independiente,29348,"20,51%",1989
32,Héctor Olivares Solís,Concertación,Partido por la Democracia ,37363,"38,34%",1989
32,Federico Mekis Martínez,Alianza,Renovación Nacional,32985,"33,85%",1989
